product_pid,transaction_date,apply_amt,redeem_amt,net_in_amt,uv_fundown,uv_stableown,uv_fundopt,uv_fundmarket,uv_termmarket,during_days,total_net_value
product1,20210104,0.0016419243230509084,0.0008505699074047281,0.0007913544156461804,791827.0,0.0,8203723.0,0.0,0.0,0,
product1,20210105,0.0001702181549918006,0.002982919969891813,-0.002812701814900012,595051.0,0.0,4432183.0,0.0,0.0,0,
product1,20210106,0.0029410292819483305,0.0013418978030623608,0.0015991314788859699,759031.0,0.0,6924679.0,0.0,0.0,0,
product1,20210107,0.005225697358248278,0.0,0.005225697358248278,299887.0,0.0,4399387.0,0.0,0.0,0,
product1,20210108,0.002587315955875369,0.0,0.002587315955875369,267091.0,0.0,2333239.0,0.0,0.0,0,
product1,20210111,0.0002723490479868809,0.0,0.0002723490479868809,267091.0,0.0,2661199.0,0.0,0.0,0,
product1,20210112,0.00023830541698852082,0.0,0.00023830541698852082,37519.0,0.0,988603.0,0.0,0.0,0,
product1,20210113,0.0035054726839011414,0.0,0.0035054726839011414,168703.0,0.0,1119787.0,0.0,0.0,0,
product1,20210114,0.00010213089299508036,0.000339112012737765,-0.0002369811197426846,431071.0,0.0,2562811.0,37519.0,0.0,0,
product1,20210115,0.00006808726199672023,0.0,0.00006808726199672023,168703.0,0.0,1841299.0,0.0,0.0,0,
